BLOCK_NUMBER,BLOCK_TIMESTAMP,ORIGIN_FROM_ADDRESS,ORIGIN_TO_ADDRESS,ORIGIN_FUNCTION_SIGNATURE,TX_HASH,EVENT_INDEX,BRIDGE_ADDRESS,EVENT_NAME,PLATFORM,SENDER,RECEIVER,DESTINATION_CHAIN,DESTINATION_CHAIN_ID,TOKEN_ADDRESS,TOKEN_SYMBOL,AMOUNT_UNADJ,AMOUNT,AMOUNT_USD
15179406,2022-07-20 12:09:09.000,0x1ced2cef30d40bb3617f8d455071b69f3b12d06f,0x9d58779365b067d5d3fcc6e92d237acd06f1e6a1,0xe0724b6e,0x8295f07987a7fcf7effafba9dd396b01564313d8f43f94f01721cf733a974208,709,0xabea9132b05a70803a4e85094fd0e1800777fbef,Transfer,zksync lite: bridge,0x0661a75f970c75b8ef128594ca00a6150e4fd370,0xabea9132b05a70803a4e85094fd0e1800777fbef,zksync lite,"null",0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,18876216258899000000,18.876216259,29565.44
15223004,2022-07-27 07:04:22.000,0xbbef78e71ca5740af2a1712f1d83136c85554717,0xabea9132b05a70803a4e85094fd0e1800777fbef,0xe17376b5,0x546d54d99679f5da1c6e79a0833c932187b361f53f1493a2106ce337536afa9a,405,0xabea9132b05a70803a4e85094fd0e1800777fbef,Transfer,zksync lite: bridge,0xbbef78e71ca5740af2a1712f1d83136c85554717,0xabea9132b05a70803a4e85094fd0e1800777fbef,zksync lite,"null",0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,50000000000000000,0.05,71.89
15743513,2022-10-14 02:57:59.000,0x1ced2cef30d40bb3617f8d455071b69f3b12d06f,0x9d58779365b067d5d3fcc6e92d237acd06f1e6a1,0xe0724b6e,0xf975c94c8da230e2ebef264176708185edb9cf7c3009555ddcc29602f4325692,333,0xabea9132b05a70803a4e85094fd0e1800777fbef,Transfer,zksync lite: bridge,0x5998ec7a5d0eae5eb8a7875e9ecb3fe752d7c335,0xabea9132b05a70803a4e85094fd0e1800777fbef,zksync lite,"null",0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,531482582203945000,0.5314825822,704.57
15775608,2022-10-18 14:32:23.000,0x1ced2cef30d40bb3617f8d455071b69f3b12d06f,0x9d58779365b067d5d3fcc6e92d237acd06f1e6a1,0xe0724b6e,0x9370bd08e6a0ce62526814b077bb360e3daa1ff46b9baad5c0c1d7ae05b40008,613,0xabea9132b05a70803a4e85094fd0e1800777fbef,Transfer,zksync lite: bridge,0xd54b73d69ab601b4eb9ec44ef4d98bbef4a47887,0xabea9132b05a70803a4e85094fd0e1800777fbef,zksync lite,"null",0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,701000163136913000,0.7010001631,920.23
15786479,2022-10-20 02:59:11.000,0x37e58b968e0e46ff9805123afddda9094911495f,0xabea9132b05a70803a4e85094fd0e1800777fbef,0xe17376b5,0x40104f1086e7ddbe58214dcfd76dec4f40918bc03ed8fab0fc496be34e9907fa,438,0xabea9132b05a70803a4e85094fd0e1800777fbef,Transfer,zksync lite: bridge,0x37e58b968e0e46ff9805123afddda9094911495f,0xabea9132b05a70803a4e85094fd0e1800777fbef,zksync lite,"null",0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,994710274916208000,0.9947102749,1270.87
17420255,2023-06-06 08:33:23.000,0x72aaa7f795c43c0d87fca19a35c94ba43967284f,0x3ee18b2214aff97000d974cf647e7c347e8fa585,0x0f5287b0,0xdaa85371ed264d59b146052a60d2f2192a757f686cab8fe888d6b7a0b90f8a5b,306,0x3ee18b2214aff97000d974cf647e7c347e8fa585,Transfer,wormhole,0x72aaa7f795c43c0d87fca19a35c94ba43967284f,0x3ee18b2214aff97000d974cf647e7c347e8fa585,polygon,5,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,2000220760000000000,2.00022076,3631.02
17027796,2023-04-11 22:29:59.000,0x7fbd882dfdc9cc579cff3f961a531394b505271f,0xa0c68c638235ee32657e8f720a23cec1bfc77c77,0xe3dec8fb,0xcac74cb60a3ae82cba6201b2b31cb22758d5e47a43fadffec40a35c1f2512f9d,32,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,Transfer,polygon (matic): erc20 bridge,0x7fbd882dfdc9cc579cff3f961a531394b505271f,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,polygon mainnet,137,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,1002709086069150000,1.002709086,1893.26
17029670,2023-04-12 04:49:23.000,0xf27696c8bca7d54d696189085ae1283f59342fa6,0x9d58779365b067d5d3fcc6e92d237acd06f1e6a1,0xe0724b6e,0x7ecd7e2d931a6a44c5316f5bb12a794d0e1c81a42e56302e4b9f0212e459995b,89,0xabea9132b05a70803a4e85094fd0e1800777fbef,Transfer,zksync lite: bridge,0x02eb5a25dd05c091b11b42573125499373233190,0xabea9132b05a70803a4e85094fd0e1800777fbef,zksync lite,"null",0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,1311818169998640000,1.31181817,2442.67
16901354,2023-03-25 01:56:35.000,0x4f6c6bc3de4992f4c159227ef094a4c40051ae42,0xabea9132b05a70803a4e85094fd0e1800777fbef,0xe17376b5,0xc7ac5d14e0a9ea773dae921a66611190285f5cc480447ac12e2370d9a5713b26,395,0xabea9132b05a70803a4e85094fd0e1800777fbef,Transfer,zksync lite: bridge,0x4f6c6bc3de4992f4c159227ef094a4c40051ae42,0xabea9132b05a70803a4e85094fd0e1800777fbef,zksync lite,"null",0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,1029615052427260,0.001029615052,1.81
16905384,2023-03-25 15:31:35.000,0xf0fda113947957104d28f16721b41c1919c97399,0xabea9132b05a70803a4e85094fd0e1800777fbef,0xe17376b5,0xaea4fd3fd465dab751b03a788cb863b3554a4ca546b4db2dced6b832b525f8a3,626,0xabea9132b05a70803a4e85094fd0e1800777fbef,Transfer,zksync lite: bridge,0xf0fda113947957104d28f16721b41c1919c97399,0xabea9132b05a70803a4e85094fd0e1800777fbef,zksync lite,"null",0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,100000000000000000,0.1,175.63
